小类编码,小类名称,商品单价
200102,猪肉口味,3
201301,番茄酱,6.7
150503,冷藏果粒酸乳,8.9
210501,麦片/粉,27.7
300604,洗衣皂,4.9
301608,软抽纸巾,9.7
120104,花果,9.96
151801,利乐砖纯奶,65
311809,胶棉拖把,70
220703,软糖,10.9
120103,芽菜,2.78
301802,夜用卫生巾,8.9
301804,卫生护垫,11.9
120105,鲜调味,9.6
200201,牛肉口味,17.3
301603,无芯纸,24.9
220111,趣味/休闲,6.9
120302,苹果类,4.98
220201,派,9.7
300602,洗衣液,24.9
120104,花果,7.8
201306,甜面/豆瓣酱,3.7
151805,利乐枕纯奶,2.7
201102,生抽酱油,7.9
300801,洗发水,9.5
120104,花果,2.58
120104,花果,1.8
200701,木耳,89.8
120303,梨类,3.18
120102,根茎,2.56
300802,润发护发,37.9
140301,现制西式糕点,16
120102,根茎,3.96
301004,婴幼儿护肤用品,1.5
200202,猪肉口味,14.7
130803,现制烙类,1
301802,夜用卫生巾,4.7
200603,常规面粉,33.9
200608,杂粮粉,4.58
311704,抹布,9.9
130201,卤制畜类,80
311907,梳子/镜子,15
301802,夜用卫生巾,8.7
301802,夜用卫生巾,9.9
220901,威化巧克力,8.5
201111,料酒,1.1
220906,果仁巧克力,39.8
100104,猪骨,35
100101,鲜猪肉,29.8
300701,香皂,4.7
300801,洗发水,46.9
151805,利乐枕纯奶,2.7
210503,芝麻糊,22.7
331901,圆珠笔,2.3
120104,花果,2.58
220102,夹心,4.5
120106,菌菇类,5.8
120303,梨类,15.96
200603,常规面粉,21.9
200705,桂圆,19.8
120102,根茎,2.56
120302,苹果类,11.98
120309,进口水果,15.9
200706,红枣,37.8
120104,花果,1.8
150506,冷藏原味鲜乳,12.8
220701,硬糖,4
120101,叶菜,6.56
150502,冷藏加味酸乳,11.9
130801,现制蒸类,6
301606,手帕纸,3
301106,手足保养品,10.9
120201,豆腐,2.96
120102,根茎,3.98
120307,蕉类,5.96
200902,功能盐,2.8
200105,干脆面,0.5
120201,豆腐,1.5
151503,火锅丸类,32.6
220502,带壳花生,11.8
120104,花果,7.96
120101,叶菜,5.56
220401,葡萄干,33.8
110107,贝蛤类,30
120301,柑桔柚类,2
120301,柑桔柚类,7.98
120309,进口水果,15.9
130201,卤制畜类,40
120101,叶菜,3.96
332102,修正液/带,3.3
120301,柑桔柚类,10
120102,根茎,2.56
151806,利乐枕加味奶,2.8
120105,鲜调味,3.56
200105,干脆面,0.5
120501,咸菜干货,2
120104,花果,1.98
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
220802,有糖口香糖,10.9
301301,成人牙膏,10.9
230705,乳酸菌饮料,5.5
120307,蕉类,5.96
120104,花果,2.58
150505,冷藏营养酸乳,9.9
151803,利乐砖营养奶,62
301802,夜用卫生巾,4.5
210111,中老年奶粉,36.5
322701,干电池,4.5
120302,苹果类,17.8
120302,苹果类,17.8
200505,鸡蛋挂面,5.9
230703,纯味酸乳饮,4.9
220601,牛肉干,12.5
120309,进口水果,17.6
152101,新鲜蛋品,19.8
301801,日用卫生巾,3.9
220403,梅,5.5
120102,根茎,1.8
201102,生抽酱油,1.3
120106,菌菇类,18
220699,其他即食熟制品,2.7
120303,梨类,15.96
210501,麦片/粉,30.7
220101,苏打,5.7
220102,夹心,5.7
120105,鲜调味,5.98
220302,袋装薯片,3.9
200808,包装汤料,4.9
200706,红枣,37.8
301603,无芯纸,1.7
220513,香瓜子,13.8
220103,威化,8.7
150503,冷藏果粒酸乳,11.8
220601,牛肉干,10.9
120106,菌菇类,9
150503,冷藏果粒酸乳,11.8
220102,夹心,6.9
301802,夜用卫生巾,7.9
201104,其他酱油,12.9
120102,根茎,4
201303,火锅底料,3.9
120101,叶菜,2.56
120102,根茎,3.96
120109,其它蔬菜,2
120104,花果,1.98
120104,花果,2.58
322701,干电池,13
120306,桃/李类,9.96
152101,新鲜蛋品,6.78
220902,夹心巧克力,5.3
301802,夜用卫生巾,9.9
120104,花果,2.58
200709,粉丝/条,5.7
220102,夹心,6.9
120303,梨类,3.18
301603,无芯纸,24.9
130801,现制蒸类,0.5
130801,现制蒸类,0.5
230604,健康机能饮料,4
120104,花果,3.16
120302,苹果类,4.98
200904,白砂糖,9.5
152101,新鲜蛋品,6.78
230703,纯味酸乳饮,2.2
200807,调理粉,2.7
200701,木耳,89.8
210107,全脂奶粉,19.9
210111,中老年奶粉,32
130101,凉拌素食,20
120105,鲜调味,6.56
200706,红枣,37.8
120101,叶菜,5.8
152101,新鲜蛋品,19.8
120301,柑桔柚类,15.98
201306,甜面/豆瓣酱,2
120101,叶菜,2.56
120101,叶菜,2.56
200709,粉丝/条,6.8
200805,香辛粉,3.9
152101,新鲜蛋品,6.78
201404,蔬菜,2.7
120301,柑桔柚类,10
220801,无糖口香糖,10.4
220513,香瓜子,5.9
151806,利乐枕加味奶,2.8
230401,红茶,2.5
120104,花果,9
230299,其他纯果汁,4
120303,梨类,15.96
220401,葡萄干,35.8
120102,根茎,3.96
120309,进口水果,15.9
110302,干货虾蟹贝类,30
120102,根茎,1.96
152101,新鲜蛋品,8.5
220101,苏打,4.9
220101,苏打,5.7
301802,夜用卫生巾,8.7
220111,趣味/休闲,6
220103,威化,19.8
120104,花果,2.58
120104,花果,2.58
332102,修正液/带,4.7
120102,根茎,1.96
120102,根茎,56
301603,无芯纸,15.9
301608,软抽纸巾,9.7
300601,洗衣粉,19.9
301606,手帕纸,5.9
231601,国产省内香烟,15
120104,花果,9.96
120204,豆干豆皮,7.76
150503,冷藏果粒酸乳,8.9
100101,鲜猪肉,29.8
120309,进口水果,17.6
120102,根茎,5.8
201104,其他酱油,12.9
120101,叶菜,2.56
120301,柑桔柚类,2
301603,无芯纸,6.9
301802,夜用卫生巾,8.7
200805,香辛粉,2
130801,现制蒸类,6
210503,芝麻糊,23.3
120302,苹果类,17.8
220108,粗粮/蔬菜,1.5
300701,香皂,4.7
120303,梨类,3.18
120104,花果,2.58
120103,芽菜,2.78
301802,夜用卫生巾,8.7
120302,苹果类,11.98
120101,叶菜,6
150802,冷冻年糕,6.7
151503,火锅丸类,32.6
200607,杂粮,9.9
301801,日用卫生巾,7.7
200602,袋装白米,39.9
152104,咸蛋,19
220801,无糖口香糖,9.9
120102,根茎,1.8
150103,块状火腿,5.7
120102,根茎,2.56
201404,蔬菜,1.7
210107,全脂奶粉,19.9
152101,新鲜蛋品,6.78
200809,淀/酵/碱粉,2.9
120101,叶菜,1.96
120101,叶菜,12
220299,其他糕点,6.9
200101,牛肉口味,2.5
200105,干脆面,0.5
220513,香瓜子,17
300206,餐具清洁剂,3.9
120102,根茎,5.56
120307,蕉类,9.98
201404,蔬菜,8.2
220208,散称糕点,15.8
230399,其他果汁饮料,4.5
220208,散称糕点,25.8
120306,桃/李类,9.96
230502,国产矿水,2
200809,淀/酵/碱粉,1.3
220299,其他糕点,5.3
210301,咖啡,9.9
230901,国产黄啤,2.5
120301,柑桔柚类,14.99
220201,派,9.9
201106,陈醋,1.7
341206,双人电热毯,69
120105,鲜调味,6.56
120201,豆腐,2.96
301303,成人牙刷,14.9
220208,散称糕点,31.8
120205,豆类料理,27.2
231201,普通黄酒,12.9
300602,洗衣液,19.7
120102,根茎,7.6
220405,山楂,25.8
300202,洁厕剂,9.9
